Server;Apps;PC;DBegin;DEnd;Duration
SRVMV-PDEP001;Abyla VA;HTML5 Client;30/03/2016 10:30;30/03/2016 10:34;00:04:37
SRVMV-PDEP001;Abyla VA;HTML5 Client;30/03/2016 10:27;30/03/2016 10:30;00:02:52
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;30/03/2016 10:27;30/03/2016 10:59;00:32:29
SRVMV-PDEP001;Abyla PROD;NB0060;30/03/2016 10:02;30/03/2016 10:03;00:01:14
SRVMV-PDEP001;Abyla PROD;SE27384;30/03/2016 09:08;30/03/2016 09:35;00:26:52
SRVMV-PDEP001;Abyla PROD;SE27384;30/03/2016 08:51;30/03/2016 08:52;00:01:09
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;30/03/2016 08:43;30/03/2016 09:25;00:42:02
SRVMV-PDEP001;Abyla VA;HTML5 Client;30/03/2016 08:42;30/03/2016 08:42;00:00:26
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;30/03/2016 08:41;30/03/2016 08:43;00:02:00
SRVMV-COMMUN002;Abbyy FineReader;NB0060;29/03/2016 18:05;29/03/2016 18:06;00:01:07
SRVMV-SOCIAL001;IODAS-Usager;XP18625;29/03/2016 16:45;29/03/2016 16:46;00:00:20
SRVMV-PDEP001;Abyla VA;HU31546;29/03/2016 15:35;29/03/2016 15:35;00:00:27
SRVMV-PDEP001;Abyla PROD;HU31546;29/03/2016 15:35;29/03/2016 15:35;00:00:05
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;29/03/2016 14:38;29/03/2016 14:54;00:15:53
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;29/03/2016 14:27;29/03/2016 14:38;00:10:56
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;29/03/2016 14:08;29/03/2016 14:56;00:48:03
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;29/03/2016 13:54;29/03/2016 14:08;00:13:46
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;29/03/2016 13:34;29/03/2016 13:54;00:19:45
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;29/03/2016 13:08;29/03/2016 14:27;01:18:18
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;29/03/2016 11:57;29/03/2016 12:54;00:57:48
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;29/03/2016 11:56;29/03/2016 11:56;00:00:14
SRVMV-PDEP001;Abyla PROD;SE27384;29/03/2016 11:26;29/03/2016 11:28;00:02:50
SRVMV-SOCIAL001;IODAS-Usager;XP18623;29/03/2016 11:16;29/03/2016 11:16;00:00:10
SRVMV-COMMUN001;Microsoft Word 2007;XP19415;29/03/2016 11:15;29/03/2016 11:19;00:03:55
SRVMV-PDEP001;Abyla PROD;XP18718;29/03/2016 10:25;29/03/2016 10:50;00:25:16
SRVMV-RCE-MEGA0;Mega;HU31042;29/03/2016 10:13;29/03/2016 10:14;00:01:05
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;29/03/2016 09:56;29/03/2016 11:56;01:59:36
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;29/03/2016 09:50;29/03/2016 09:56;00:06:18
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;29/03/2016 09:49;29/03/2016 12:47;02:58:26
SRVMV-PDEP001;Abyla VA;HU31831;29/03/2016 09:43;29/03/2016 09:45;00:01:33
SRVMV-PDEP001;Abyla VA;HU31831;29/03/2016 09:41;29/03/2016 09:43;00:01:58
SRVMV-PDEP001;Abyla VA;HU31831;29/03/2016 09:15;29/03/2016 09:28;00:13:00
SRVMV-PDEP001;Abyla PROD;SE29067;25/03/2016 16:43;25/03/2016 17:03;00:19:47
